precision_fusion	Standard Deviation	95%CI
_1_0	NA	NA	NA
_3_1	0.988634380445142	0.0115076697146464	0.00225546181866893
_5_1	0.984593212788893	0.0136412803907698	0.00267364182689212
_7_2	0.985582332394441	0.0157814071836312	0.00309309897052788
_10_3	0.987026458940077	0.0120919036547781	0.00236996956678934
_15_4	0.992679143066197	0.00970349569136179	0.00190185020792087
_20_5	0.993197048948419	0.00966176341590471	0.00189367083223199
_30_8	0.993023175651272	0.0101234938759965	0.00198416833946648
_50_13	0.993874386472181	0.00971472228843534	0.00190405058051418
_100_26	0.99176870404231	0.0098448715551705	0.0019295593680557
