recall_fusion	Standard Deviation	95%CI
_1_0	0	0	0
_3_1	0.7617	0.038272151438841	0.00750120384309911
_5_1	0.8561	0.0394890344068304	0.00773970852216507
_7_2	0.8851	0.0314464431673725	0.00616338960499358
_10_3	0.8846	0.0354315387669508	0.00694445399000583
_15_4	0.8866	0.0702408554744159	0.0137669546973138
_20_5	0.8989	0.0312337230336932	0.00612169722491377
_30_8	0.9026	0.0338332213761396	0.00663118953782043
_50_13	0.8799	0.0347718392967759	0.00681515526978953
_100_26	0.8853	0.0364443674549569	0.00714296476510591
